id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
36;1852 г.;1852;15 К прекращению распространения любострастной болезни в;#event_1884_36
37;25 октября 1851 г.;1851-10-25;15 К прекращению распространения любострастной болезни в;#event_1884_37
38;1852 г.;1852;15 К прекращению распространения любострастной болезни в;#event_1884_38
39;1852 г.;1852;15 К прекращению распространения любострастной болезни в;#event_1884_39
40;1852 г.;1852;15 К прекращению распространения любострастной болезни в;#event_1884_40
41;1852 г.;1852;16 Кроме того, в;#event_1884_41
42;1852 г.;1852;16 Кроме того, в;#event_1884_42
43;1852 г.;1852;16 Кроме того, в;#event_1884_43
44;1852 г.;1852;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;#event_1884_44
45;1853 г.;1853;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;#event_1884_45
46;15 января 1853 г.;1853-01-15;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;#event_1884_46
47;1851 г.;1851;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;#event_1884_47
48;1852 г.;1852;18 о которых собираются нужные сведения, или на купцах и мещанах, проживающих в селениях и не пользу;#event_1884_48
49;1852 г.;1852;18 о которых собираются нужные сведения, или на купцах и мещанах, проживающих в селениях и не пользу;#event_1884_49
50;1852 г.;1852;18 о которых собираются нужные сведения, или на купцах и мещанах, проживающих в селениях и не пользу;#event_1884_50
51;1852 г.;1852;19 Подряды и поставки В;#event_1884_51
52;1851 г.;1851;19 Подряды и поставки В;#event_1884_52
53;1853 г.;1853;19 Подряды и поставки В;#event_1884_53
54;1852 г.;1852;19 Подряды и поставки В;#event_1884_54
55;1851 г.;1851;20 суммы как за этот год, так и за предшествовавший оному;#event_1884_55
56;1852 г.;1852;20 суммы как за этот год, так и за предшествовавший оному;#event_1884_56
57;1851 г.;1851;21 в сравнении с;#event_1884_57
58;1852 г.;1852;21 в сравнении с;#event_1884_58
59;1852 г.;1852;21 в сравнении с;#event_1884_59
60;1852 г.;1852;21 в сравнении с;#event_1884_60
61;1852 г.;1852;21 в сравнении с;#event_1884_61
62;1851 г.;1851;21 в сравнении с;#event_1884_62
63;1852 г.;1852;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;#event_1884_63
64;1852 г.;1852;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;#event_1884_64
65;1852 г.;1852;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;#event_1884_65
66;11 октября 1852 г.;1852-10-11;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;#event_1884_66
67;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;#event_1884_67
68;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;#event_1884_68
69;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;#event_1884_69
70;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;#event_1884_70
71;1851 г.;1851;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;#event_1884_71
72;1851 г.;1851;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;#event_1884_72
73;1851 г.;1851;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;#event_1884_73
74;1852 г.;1852;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;#event_1884_74
75;1852 г.;1852;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;#event_1884_75
76;1852 г.;1852;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;#event_1884_76
77;1852 г.;1852;25 места для заселения их, выдано пособие деньгами и хлебом на первоначальное обзаведение и обсемене;#event_1884_77
78;1852 г.;1852;25 места для заселения их, выдано пособие деньгами и хлебом на первоначальное обзаведение и обсемене;#event_1884_78
79;1852 г.;1852;25 места для заселения их, выдано пособие деньгами и хлебом на первоначальное обзаведение и обсемене;#event_1884_79
80;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;#event_1884_80
81;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;#event_1884_81
82;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;#event_1884_82
83;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;#event_1884_83
84;1852 г.;1852;27 пожаров значительно уменьшилось. Случаи убийств и грабежа были реже. Число утонувших хотя противу;#event_1884_84
85;23 мая 1852 г.;1852-05-23;28 на частные золотые промысла. Инородцы же бродячие в числе 1 669, главнейше обитающие в северных с;#event_1884_85
86;8 января 1852 г.;1852-01-08;29 Виды, предположения По требованию г-на генерал-губернатор;#event_1884_86
87;28 июня 1852 г.;1852-06-28;29 Виды, предположения По требованию г-на генерал-губернатор;#event_1884_87
88;10 сентября 1851;1851-09-10;33 № 25. Об иноверцах. № 26. О замечательных происшествиях, случившихся в губернии. № 27. О количест;#event_1884_88
89;10 сентября 1852 года;1852-09-10;33 № 25. Об иноверцах. № 26. О замечательных происшествиях, случившихся в губернии. № 27. О количест;#event_1884_89
90;1 января 1852 г.;1852-01-01;35 В каких местах Оставалось дел нерешенных к;#event_1884_90
91;1 января 1853 г.;1853-01-01;35 В каких местах Оставалось дел нерешенных к;#event_1884_91
92;1 января 1852 г.;1852-01-01;37 Осталось неисполненных к;#event_1884_92
93;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;#event_1884_93
94;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;#event_1884_94
95;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;#event_1884_95
96;1 января 1852;1852-01-01;37 Осталось неисполненных к;#event_1884_96
97;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;#event_1884_97
98;1 января 1852 г.;1852-01-01;38 Осталось неисполненных к;#event_1884_98
99;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;#event_1884_99
100;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;#event_1884_100
101;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;#event_1884_101
102;1 января 1852;1852-01-01;38 Осталось неисполненных к;#event_1884_102
103;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;#event_1884_103
104;1849 г.;1849;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_104
105;12 февраля 1853 г.;1853-02-12;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_105
106;11 января 1852 г.;1852-01-11;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_106
107;11 марта 1853 г.;1853-03-11;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_107
108;25 февраля 1853 г.;1853-02-25;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_108
109;12 июля 1852 г.;1852-07-12;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_109
110;5 марта 1853 г.;1853-03-05;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_110
111;17 сентября 1852 г.;1852-09-17;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_111
112;1849 г.;1849;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_112
113;12 февраля 1853 г.;1853-02-12;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_113
114;11 января 1852 г.;1852-01-11;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_114
115;11 марта 1853 г.;1853-03-11;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_115
116;25 февраля 1853 г.;1853-02-25;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_116
117;12 июля 1852 г.;1852-07-12;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_117
118;5 марта 1853 г.;1853-03-05;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_118
119;17 сентября 1852 г.;1852-09-17;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_119
120;29 января 1853 г.;1853-01-29;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_120
121;25 февраля 1853 г.;1853-02-25;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_121
122;16 января 1853 г.;1853-01-16;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_122
123;5 февраля 1853 г.;1853-02-05;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_123
124;21 февраля 1853 г.;1853-02-21;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_124
125;29 января 1853 г.;1853-01-29;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_125
126;25 февраля 1853 г.;1853-02-25;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_126
127;16 января 1853 г.;1853-01-16;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_127
128;5 февраля 1853 г.;1853-02-05;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_128
129;21 февраля 1853 г.;1853-02-21;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;#event_1884_129
130;1852 г.;1852;70 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_130
131;1852 г.;1852;71 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_131
132;25 февраля 1852 г.;1852-02-25;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_132
133;4 марта 1849;1849-03-04;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_133
134;11 декабря 1852 г.;1852-12-11;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_134
135;20 декабря 1852 г.;1852-12-20;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_135
136;25 февраля 1852 г.;1852-02-25;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_136
137;4 марта 1849;1849-03-04;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_137
138;11 декабря 1852 г.;1852-12-11;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_138
139;20 декабря 1852 г.;1852-12-20;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_139
140;12 декабря 1851 г.;1851-12-12;74 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_140
141;20 декабря 1852 г.;1852-12-20;74 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_141
142;12 декабря 1852 г.;1852-12-12;За неполучением уведомления от Новгородского городского правления на отношение от;#event_1884_142
143;23 января 1853 г.;1853-01-23;За неполучением уведомления от Новгородского городского правления на отношение от;#event_1884_143
144;30 июня 1852 г.;1852-06-30;За неполучением уведомления от Новгородского городского правления на отношение от;#event_1884_144
145;12 декабря 1851 г.;1851-12-12;75 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_145
146;20 декабря 1852 г.;1852-12-20;75 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;#event_1884_146
147;12 декабря 1852 г.;1852-12-12;За неполучением уведомления от Новгородского городского правления на отношение от;#event_1884_147
148;23 января 1853 г.;1853-01-23;За неполучением уведомления от Новгородского городского правления на отношение от;#event_1884_148
149;30 июня 1852 г.;1852-06-30;За неполучением уведомления от Новгородского городского правления на отношение от;#event_1884_149
150;5 февраля 1852 г.;1852-02-05;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_150
151;15 августа 1851 г.;1851-08-15;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_151
152;6 января 1853 г.;1853-01-06;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_152
153;5 декабря 1849 г.;1849-12-05;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_153
154;13 мая 1852 г.;1852-05-13;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_154
155;5 февраля 1852 г.;1852-02-05;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_155
156;15 августа 1851 г.;1851-08-15;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_156
157;6 января 1853 г.;1853-01-06;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_157
158;5 декабря 1849 г.;1849-12-05;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_158
159;13 мая 1852 г.;1852-05-13;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;#event_1884_159
160;24 сентября 1850 г.;1850-09-24;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_160
161;23 марта 1852;1852-03-23;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_161
162;22 апреля 1852 г.;1852-04-22;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_162
163;19 декабря 1852 г.;1852-12-19;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_163
164;20 декабря 1845 г.;1845-12-20;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_164
165;30 апреля 1851 г.;1851-04-30;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_165
166;16 сентября 1849 г.;1849-09-16;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_166
167;31 декабря 1851 г.;1851-12-31;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_167
168;23 января 1852 г.;1852-01-23;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_168
169;7 августа 1851 г.;1851-08-07;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_169
170;15 февраля 1852 г.;1852-02-15;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_170
171;24 сентября 1850 г.;1850-09-24;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_171
172;23 марта 1852;1852-03-23;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_172
173;22 апреля 1852 г.;1852-04-22;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_173
174;19 декабря 1852 г.;1852-12-19;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_174
175;20 декабря 1845 г.;1845-12-20;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_175
176;30 апреля 1851 г.;1851-04-30;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_176
177;16 сентября 1849 г.;1849-09-16;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_177
178;31 декабря 1851 г.;1851-12-31;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_178
179;23 января 1852 г.;1852-01-23;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_179
180;7 августа 1851 г.;1851-08-07;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_180
181;15 февраля 1852 г.;1852-02-15;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;#event_1884_181
182;17 января 1853 г.;1853-01-17;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_182
183;31 декабря 1852 г.;1852-12-31;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_183
184;8 июля 1852 г.;1852-07-08;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_184
185;3 мая 1851 г.;1851-05-03;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_185
186;19 июля 1852 г.;1852-07-19;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_186
187;9 марта 1845 г.;1845-03-09;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_187
188;28 августа 1852;1852-08-28;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_188
189;9 сентября 1852 г.;1852-09-09;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_189
190;17 января 1853 г.;1853-01-17;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_190
191;31 декабря 1852 г.;1852-12-31;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_191
192;8 июля 1852 г.;1852-07-08;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_192
193;3 мая 1851 г.;1851-05-03;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_193
194;19 июля 1852 г.;1852-07-19;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_194
195;9 марта 1845 г.;1845-03-09;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_195
196;28 августа 1852;1852-08-28;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_196
197;9 сентября 1852 г.;1852-09-09;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;#event_1884_197
198;20 августа 1850 г.;1850-08-20;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_198
199;13 июня 1850 г.;1850-06-13;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_199
200;20 июня 1852 г.;1852-06-20;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_200
201;1853 г.;1853;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_201
202;1850 г.;1850;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_202
203;3 сентября 1846 г.;1846-09-03;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_203
204;31 марта 1847 г.;1847-03-31;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_204
205;7 августа 1848 г.;1848-08-07;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_205
206;5 июня 1852 г.;1852-06-05;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_206
207;31 августа 1848 г.;1848-08-31;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_207
208;15 ноября 1852 г.;1852-11-15;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_208
209;4 декабря 1852 г.;1852-12-04;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_209
210;11 февраля 1853 г.;1853-02-11;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_210
211;18 декабря 1846 г.;1846-12-18;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_211
212;20 августа 1850 г.;1850-08-20;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_212
213;13 июня 1850 г.;1850-06-13;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_213
214;20 июня 1852 г.;1852-06-20;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_214
215;1853 г.;1853;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_215
216;1850 г.;1850;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_216
217;3 сентября 1846 г.;1846-09-03;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_217
218;31 марта 1847 г.;1847-03-31;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_218
219;7 августа 1848 г.;1848-08-07;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_219
220;5 июня 1852 г.;1852-06-05;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_220
221;31 августа 1848 г.;1848-08-31;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_221
222;15 ноября 1852 г.;1852-11-15;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_222
223;4 декабря 1852 г.;1852-12-04;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_223
224;11 февраля 1853 г.;1853-02-11;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_224
225;18 декабря 1846 г.;1846-12-18;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;#event_1884_225
