ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
11;1852 г.;1852;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;
12;1842 г.;1842;9 Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗА 1852 ГОД I. СУД, ПОЛИЦИЯ, НАРОДНОЕ ЗДРАВИЕ Дел;
13;7 ноября 1852 г.;1852-11-07;10;
14;1852 г.;1852;10;
15;1852 г.;1852;10;
16;1851 г.;1851;11 Тюрьмы, этапы, остроги Тюремные помещения в;
17;1853 г.;1853;11 Тюрьмы, этапы, остроги Тюремные помещения в;
18;1852 г.;1852;11 Тюрьмы, этапы, остроги Тюремные помещения в;
19;1852 г.;1852;11 Тюрьмы, этапы, остроги Тюремные помещения в;
20;1852 г.;1852;12 Беглые и бродяги В течение;
21;1852 г.;1852;12 Беглые и бродяги В течение;
22;1852 г.;1852;12 Беглые и бродяги В течение;
23;1852 г.;1852;13 Сверх того, в продолжение в;
24;1852 г.;1852;13 Сверх того, в продолжение в;
25;11 мая 1827 г.;1827-05-11;13 Сверх того, в продолжение в;
26;19 июля 1838 г.;1838-07-19;13 Сверх того, в продолжение в;
27;1852 г.;1852;13 Сверх того, в продолжение в;
28;1852 г.;1852;13 Сверх того, в продолжение в;
29;1852 г.;1852;14 При производстве в;
30;1852 г.;1852;14 При производстве в;
31;1852 г.;1852;14 При производстве в;
32;1852 г.;1852;14 При производстве в;
33;11 октября 1849 г.;1849-10-11;14 При производстве в;
34;17 июня 1850 г.;1850-06-17;14 При производстве в;
35;22 февраля 1850 г.;1850-02-22;14 При производстве в;
36;1852 г.;1852;15 К прекращению распространения любострастной болезни в;
37;25 октября 1851 г.;1851-10-25;15 К прекращению распространения любострастной болезни в;
38;1852 г.;1852;15 К прекращению распространения любострастной болезни в;
39;1852 г.;1852;15 К прекращению распространения любострастной болезни в;
40;1852 г.;1852;15 К прекращению распространения любострастной болезни в;
41;1852 г.;1852;16 Кроме того, в;
42;1852 г.;1852;16 Кроме того, в;
43;1852 г.;1852;16 Кроме того, в;
44;1852 г.;1852;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;
45;1853 г.;1853;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;
46;15 января 1853 г.;1853-01-15;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;
47;1851 г.;1851;17 Выборы Дворянских выборов не бывает. При выборе граждан в общественные должности никаких беспоряд;
48;1852 г.;1852;18 о которых собираются нужные сведения, или на купцах и мещанах, проживающих в селениях и не пользу;
49;1852 г.;1852;18 о которых собираются нужные сведения, или на купцах и мещанах, проживающих в селениях и не пользу;
50;1852 г.;1852;18 о которых собираются нужные сведения, или на купцах и мещанах, проживающих в селениях и не пользу;
51;1852 г.;1852;19 Подряды и поставки В;
52;1851 г.;1851;19 Подряды и поставки В;
53;1853 г.;1853;19 Подряды и поставки В;
54;1852 г.;1852;19 Подряды и поставки В;
55;1851 г.;1851;20 суммы как за этот год, так и за предшествовавший оному;
56;1852 г.;1852;20 суммы как за этот год, так и за предшествовавший оному;
57;1851 г.;1851;21 в сравнении с;
58;1852 г.;1852;21 в сравнении с;
59;1852 г.;1852;21 в сравнении с;
60;1852 г.;1852;21 в сравнении с;
61;1852 г.;1852;21 в сравнении с;
62;1851 г.;1851;21 в сравнении с;
63;1852 г.;1852;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;
64;1852 г.;1852;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;
65;1852 г.;1852;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;
66;11 октября 1852 г.;1852-10-11;22 сих денег рабочие должны были выйти с промыслов в места своих жилищ без всяких средств к продовол;
67;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;
68;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;
69;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;
70;1852 г.;1852;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;
71;1851 г.;1851;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;
72;1851 г.;1851;23 Сельское хозяйство Сельское хозяйство не соответствует современному развитию оного в других частя;
73;1851 г.;1851;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;
74;1852 г.;1852;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;
75;1852 г.;1852;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;
76;1852 г.;1852;24 снято 243 865 четв. 7 четвериков и второго — 944 116 четв. 3 четверика. В общей сложности противу;
77;1852 г.;1852;25 места для заселения их, выдано пособие деньгами и хлебом на первоначальное обзаведение и обсемене;
78;1852 г.;1852;25 места для заселения их, выдано пособие деньгами и хлебом на первоначальное обзаведение и обсемене;
79;1852 г.;1852;25 места для заселения их, выдано пособие деньгами и хлебом на первоначальное обзаведение и обсемене;
80;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;
81;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;
82;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;
83;1852 г.;1852;26 88¼ коп. и периодических изданий 85 названий в 926 переплетах на сумму 994 руб. 6½ коп. Библиотек;
84;1852 г.;1852;27 пожаров значительно уменьшилось. Случаи убийств и грабежа были реже. Число утонувших хотя противу;
85;23 мая 1852 г.;1852-05-23;28 на частные золотые промысла. Инородцы же бродячие в числе 1 669, главнейше обитающие в северных с;
86;8 января 1852 г.;1852-01-08;29 Виды, предположения По требованию г-на генерал-губернатор;
87;28 июня 1852 г.;1852-06-28;29 Виды, предположения По требованию г-на генерал-губернатор;
88;10 сентября 1851;1851-09-10;33 № 25. Об иноверцах. № 26. О замечательных происшествиях, случившихся в губернии. № 27. О количест;
89;10 сентября 1852 года;1852-09-10;33 № 25. Об иноверцах. № 26. О замечательных происшествиях, случившихся в губернии. № 27. О количест;
90;1 января 1852 г.;1852-01-01;35 В каких местах Оставалось дел нерешенных к;
91;1 января 1853 г.;1853-01-01;35 В каких местах Оставалось дел нерешенных к;
92;1 января 1852 г.;1852-01-01;37 Осталось неисполненных к;
93;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;
94;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;
95;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;
96;1 января 1852;1852-01-01;37 Осталось неисполненных к;
97;1 января 1853 г.;1853-01-01;37 Осталось неисполненных к;
98;1 января 1852 г.;1852-01-01;38 Осталось неисполненных к;
99;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;
100;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;
101;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;
102;1 января 1852;1852-01-01;38 Осталось неисполненных к;
103;1 января 1853 г.;1853-01-01;38 Осталось неисполненных к;
104;1849 г.;1849;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
105;12 февраля 1853 г.;1853-02-12;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
106;11 января 1852 г.;1852-01-11;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
107;11 марта 1853 г.;1853-03-11;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
108;25 февраля 1853 г.;1853-02-25;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
109;12 июля 1852 г.;1852-07-12;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
110;5 марта 1853 г.;1853-03-05;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
111;17 сентября 1852 г.;1852-09-17;44 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
112;1849 г.;1849;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
113;12 февраля 1853 г.;1853-02-12;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
114;11 января 1852 г.;1852-01-11;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
115;11 марта 1853 г.;1853-03-11;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
116;25 февраля 1853 г.;1853-02-25;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
117;12 июля 1852 г.;1852-07-12;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
118;5 марта 1853 г.;1853-03-05;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
119;17 сентября 1852 г.;1852-09-17;45 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
120;29 января 1853 г.;1853-01-29;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
121;25 февраля 1853 г.;1853-02-25;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
122;16 января 1853 г.;1853-01-16;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
123;5 февраля 1853 г.;1853-02-05;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
124;21 февраля 1853 г.;1853-02-21;52 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
125;29 января 1853 г.;1853-01-29;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
126;25 февраля 1853 г.;1853-02-25;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
127;16 января 1853 г.;1853-01-16;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
128;5 февраля 1853 г.;1853-02-05;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
129;21 февраля 1853 г.;1853-02-21;53 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 10;
130;1852 г.;1852;70 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
131;1852 г.;1852;71 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
132;25 февраля 1852 г.;1852-02-25;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
133;4 марта 1849;1849-03-04;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
134;11 декабря 1852 г.;1852-12-11;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
135;20 декабря 1852 г.;1852-12-20;72 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
136;25 февраля 1852 г.;1852-02-25;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
137;4 марта 1849;1849-03-04;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
138;11 декабря 1852 г.;1852-12-11;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
139;20 декабря 1852 г.;1852-12-20;73 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
140;12 декабря 1851 г.;1851-12-12;74 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
141;20 декабря 1852 г.;1852-12-20;74 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
142;12 декабря 1852 г.;1852-12-12;За неполучением уведомления от Новгородского городского правления на отношение от;
143;23 января 1853 г.;1853-01-23;За неполучением уведомления от Новгородского городского правления на отношение от;
144;30 июня 1852 г.;1852-06-30;За неполучением уведомления от Новгородского городского правления на отношение от;
145;12 декабря 1851 г.;1851-12-12;75 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
146;20 декабря 1852 г.;1852-12-20;75 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 13;
147;12 декабря 1852 г.;1852-12-12;За неполучением уведомления от Новгородского городского правления на отношение от;
148;23 января 1853 г.;1853-01-23;За неполучением уведомления от Новгородского городского правления на отношение от;
149;30 июня 1852 г.;1852-06-30;За неполучением уведомления от Новгородского городского правления на отношение от;
150;5 февраля 1852 г.;1852-02-05;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
151;15 августа 1851 г.;1851-08-15;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
152;6 января 1853 г.;1853-01-06;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
153;5 декабря 1849 г.;1849-12-05;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
154;13 мая 1852 г.;1852-05-13;76 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
155;5 февраля 1852 г.;1852-02-05;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
156;15 августа 1851 г.;1851-08-15;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
157;6 января 1853 г.;1853-01-06;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
158;5 декабря 1849 г.;1849-12-05;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
159;13 мая 1852 г.;1852-05-13;77 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 14;
160;24 сентября 1850 г.;1850-09-24;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
161;23 марта 1852;1852-03-23;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
162;22 апреля 1852 г.;1852-04-22;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
163;19 декабря 1852 г.;1852-12-19;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
164;20 декабря 1845 г.;1845-12-20;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
165;30 апреля 1851 г.;1851-04-30;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
166;16 сентября 1849 г.;1849-09-16;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
167;31 декабря 1851 г.;1851-12-31;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
168;23 января 1852 г.;1852-01-23;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
169;7 августа 1851 г.;1851-08-07;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
170;15 февраля 1852 г.;1852-02-15;82 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
171;24 сентября 1850 г.;1850-09-24;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
172;23 марта 1852;1852-03-23;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
173;22 апреля 1852 г.;1852-04-22;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
174;19 декабря 1852 г.;1852-12-19;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
175;20 декабря 1845 г.;1845-12-20;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
176;30 апреля 1851 г.;1851-04-30;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
177;16 сентября 1849 г.;1849-09-16;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
178;31 декабря 1851 г.;1851-12-31;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
179;23 января 1852 г.;1852-01-23;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
180;7 августа 1851 г.;1851-08-07;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
181;15 февраля 1852 г.;1852-02-15;83 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными По;
182;17 января 1853 г.;1853-01-17;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
183;31 декабря 1852 г.;1852-12-31;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
184;8 июля 1852 г.;1852-07-08;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
185;3 мая 1851 г.;1851-05-03;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
186;19 июля 1852 г.;1852-07-19;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
187;9 марта 1845 г.;1845-03-09;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
188;28 августа 1852;1852-08-28;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
189;9 сентября 1852 г.;1852-09-09;84 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
190;17 января 1853 г.;1853-01-17;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
191;31 декабря 1852 г.;1852-12-31;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
192;8 июля 1852 г.;1852-07-08;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
193;3 мая 1851 г.;1851-05-03;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
194;19 июля 1852 г.;1852-07-19;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
195;9 марта 1845 г.;1845-03-09;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
196;28 августа 1852;1852-08-28;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
197;9 сентября 1852 г.;1852-09-09;85 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными гр;
198;20 августа 1850 г.;1850-08-20;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
199;13 июня 1850 г.;1850-06-13;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
200;20 июня 1852 г.;1852-06-20;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
201;1853 г.;1853;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
202;1850 г.;1850;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
203;3 сентября 1846 г.;1846-09-03;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
204;31 марта 1847 г.;1847-03-31;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
205;7 августа 1848 г.;1848-08-07;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
206;5 июня 1852 г.;1852-06-05;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
207;31 августа 1848 г.;1848-08-31;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
208;15 ноября 1852 г.;1852-11-15;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
209;4 декабря 1852 г.;1852-12-04;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
210;11 февраля 1853 г.;1853-02-11;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
211;18 декабря 1846 г.;1846-12-18;86 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
212;20 августа 1850 г.;1850-08-20;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
213;13 июня 1850 г.;1850-06-13;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
214;20 июня 1852 г.;1852-06-20;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
215;1853 г.;1853;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
216;1850 г.;1850;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
217;3 сентября 1846 г.;1846-09-03;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
218;31 марта 1847 г.;1847-03-31;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
219;7 августа 1848 г.;1848-08-07;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
220;5 июня 1852 г.;1852-06-05;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
221;31 августа 1848 г.;1848-08-31;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
222;15 ноября 1852 г.;1852-11-15;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
223;4 декабря 1852 г.;1852-12-04;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
224;11 февраля 1853 г.;1853-02-11;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
225;18 декабря 1846 г.;1846-12-18;87 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 17;
226;27 января 1847 г.;1847-01-27;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
227;11 января 1847 г.;1847-01-11;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
228;31 декабря 1851 г.;1851-12-31;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
229;26 марта 1852 г.;1852-03-26;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
230;18 апреля 1852 г.;1852-04-18;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
231;12 февраля 1853 г.;1853-02-12;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
232;25 мая 1849 г.;1849-05-25;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
233;31 мая 1852 г.;1852-05-31;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
234;14 августа 1852 г.;1852-08-14;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
235;11 февраля 1853 г.;1853-02-11;88 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
236;27 января 1847 г.;1847-01-27;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
237;11 января 1847 г.;1847-01-11;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
238;31 декабря 1851 г.;1851-12-31;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
239;26 марта 1852 г.;1852-03-26;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
240;18 апреля 1852 г.;1852-04-18;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
241;12 февраля 1853 г.;1853-02-12;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
242;25 мая 1849 г.;1849-05-25;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
243;31 мая 1852 г.;1852-05-31;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
244;14 августа 1852 г.;1852-08-14;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
245;11 февраля 1853 г.;1853-02-11;89 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными от;
246;15 декабря 1852 г.;1852-12-15;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
247;12 августа 1852 г.;1852-08-12;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
248;17 января 1853 г.;1853-01-17;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
249;14 ноября 1852 г.;1852-11-14;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
250;1852 г.;1852;90 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 18;
