Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
placeName;Енисейской губернии;#place_enisei_province;29;Адм. единицы;губерния
placeName;Восточной Сибири;#place_eastern_siberia;10;Адм. единицы;генерал-губернаторство
placeName;Минусинском;#place_minusinsk;5;Адм. единицы;округ
placeName;Енисейского;#place_enisei_okrug;4;Адм. единицы;округ
placeName;Красноярске;#place_krasnoyarsk;4;Насел. пункты;город
placeName;г. Красноярске;#place_krasnoyarsk;4;Насел. пункты;город
placeName;Канском;#place_kansk;3;Адм. единицы;округ
placeName;Красноярском;#place_krasnoyarsk;3;Адм. единицы;округ
placeName;Енисейском;#place_enisei_okrug;3;Адм. единицы;округ
placeName;Туруханского края;#place_turukhansk_region;3;Адм. единицы;край
placeName;Ачинском;#place_achinsk;2;Адм. единицы;округ
placeName;Минусинском округе;#place_minusinsk_okrug;2;Адм. единицы;округ
placeName;Туруханском;#place_turukhansk;2;Адм. единицы;край
placeName;Енисейского округа;#place_enisei_okrug;2;Адм. единицы;округ
placeName;Енисейской;#place_enisei_okrug;1;Адм. единицы;губерния
placeName;Минусинске;#place_minusinsk;1;Насел. пункты;город
placeName;Ачинске;#place_achinsk;1;Насел. пункты;город
placeName;г. Енисейске;#place_eniseysk;1;Насел. пункты;город

placeName;Томской губернии;#place_tomsk_province;1;Адм. единицы;губерния
placeName;Иркутской;#place_irkutsk_province;1;Адм. единицы;губерния
placeName;Канска;#place_kansk;1;Насел. пункты;город
placeName;Красноярские;#place_krasnoyarsk;1;Насел. пункты;город
placeName;г. Красноярск;#place_krasnoyarsk;1;Насел. пункты;город
placeName;Канском округе;#place_kansk_okrug;1;Адм. единицы;округ
placeName;Соленоозерномфорпосте;#place_solenoozerny_fortpost;1;Насел. пункты;форпост
placeName;Туруханска;#place_turukhansk;1;Насел. пункты;город
placeName;Енисей;#place_enisey_river;1;Географические Точки;река
placeName;Туба;#place_tuba_river;1;Географические Точки;река
placeName;Чулыми;place_chylim;1;Географические Точки;река
placeName;Кеть;#place_ket_river;1;Географические Точки;река
placeName;Ачинском округе;#place_achinsk_okrug;1;Адм. единицы;округ
placeName;Каменского;#place_kamensky_plant;1;Насел. пункты;завод
placeName;Енисейскому;#place_enisei_okrug;1;Адм. единицы;округ
placeName;Канскому;#place_kansk;1;Адм. единицы;округ
placeName;Верхнеибатском;Верхнеибатском;1;Насел. пункты;участок
placeName;Западной Сибири;west_syberia;1;Адм. единицы;регион
placeName;Енисейскую губернию;#place_enisei_province;1;Адм. единицы;губерния
placeName;Канске;#place_kansk;1;Насел. пункты;город
placeName;Минусинского;#place_minusinsk;1;Адм. единицы;округ

placeName;Ачинского;#place_achinsk;1;Адм. единицы;округ
placeName;г. Красноярска;#place_krasnoyarsk;1;Насел. пункты;город
placeName;Енисейскою;#place_enisei_okrug;1;Адм. единицы;губерния
placeName;Енисейский;#place_enisei_okrug;1;Адм. единицы;округ
placeName;Красноярск;;1;Насел. пункты;город
placeName;Енисейск;;1;Насел. пункты;город
placeName;Канск;;1;Насел. пункты;город
placeName;Чулым;;1;Географические Точки;река
placeName;Ачинск;;1;Насел. пункты;город
placeName;Минусинск;;1;Насел. пункты;город
placeName;Туруханск;;1;Насел. пункты;город
placeName;Енисейская губерния;;1;Адм. единицы;губерния
placeName;Западной Сибири;;1;Адм. единицы;регион
placeName;Томская губерния;;1;Адм. единицы;губерния
placeName;Иркутская губерния;;1;Адм. единицы;губерния
placeName;Восточная Сибирь;;1;Адм. единицы;генерал-губернаторство
placeName;Туруханский край;;1;Адм. единицы;край
placeName;Енисейский округ;;1;Адм. единицы;округ
placeName;Верхнеибатском;;1;Насел. пункты;участок
placeName;Канский округ;;1;Адм. единицы;округ
placeName;Ачинский округ;;1;Адм. единицы;округ

placeName;Минусинский округ;;1;Адм. единицы;округ
placeName;Соленоозерный форпост;;1;Насел. пункты;форпост
