id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
56;1 января 1874 г.;1874-01-01;43 <Повинность> Число людей, занятых повинностью Число подвод Время занятий 1. Исправление дорог, мо;#event_1884_56
57;19 октября 1884 г.;1884-10-19;"48 вблизи тюремного замка новая пересыльная казарма, деревянная двухэтажная; б) на постройку пересыл";#event_1884_57
58;1882 г.;1882;49 были распределены по следующим трактам: а) главному сибирскому тракту, пролегающему чрез губернию;#event_1884_58
59;1883 г.;1883;49 были распределены по следующим трактам: а) главному сибирскому тракту, пролегающему чрез губернию;#event_1884_59
60;1884 г.;1884;49 были распределены по следующим трактам: а) главному сибирскому тракту, пролегающему чрез губернию;#event_1884_60
61;1884 г.;1884;50 от лесных заломов, существовавших на р. Ломоватой и загружавших в 20 местах ее русло, и уборка эт;#event_1884_61
62;1884 г.;1884;50 от лесных заломов, существовавших на р. Ломоватой и загружавших в 20 местах ее русло, и уборка эт;#event_1884_62
63;1883 г.;1883;"51 с 1 баржей и 34 рабочими; 3) „Николай“ купца Сотникова, в 50 сил, с 3 баржами и 38 рабочими и 4) ";#event_1884_63
64;1884 г.;1884;55 Откуда поступили Муж.Жен. При них семейств муж. жен.детей Из Александровской центральной тюрьмы 3;#event_1884_64
65;1 января 1885 г.;1885-01-01;55 Откуда поступили Муж.Жен. При них семейств муж. жен.детей Из Александровской центральной тюрьмы 3;#event_1884_65
66;25 марта 1882 г.;1882-03-25;56 В;#event_1884_66
67;1 января 1884 г.;1884-01-01;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;#event_1884_67
68;1884 г.;1884;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;#event_1884_68
69;1884 г.;1884;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;#event_1884_69
70;1 января 1885 г.;1885-01-01;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;#event_1884_70
71;1884 г.;1884;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;#event_1884_71
72;29 февраля 1884 г.;1884-02-29;57 устранялось чрез разные приспособления и поправки на счет казны и сумм тюремных отделений. Относи;#event_1884_72
73;1 января 1884 г.;1884-01-01;"58 священникам, содержание церквей — 3 515 руб. 62 ¾ коп.; 3) на содержание больниц, жалованье врача";#event_1884_73
74;1 января 1885 г.;1885-01-01;"59 в доход казны за билетные бланки для ссыльнопоселенцев — 1 200 руб.; 6) представлено в распоряжен";#event_1884_74
75;1 января 1885 г.;1885-01-01;"59 в доход казны за билетные бланки для ссыльнопоселенцев — 1 200 руб.; 6) представлено в распоряжен";#event_1884_75
76;1884 г.;1884;60 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ А. Врачи Всех врачей гражданского ведома по губерни;#event_1884_76
77;1884 г.;1884;60 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ А. Врачи Всех врачей гражданского ведома по губерни;#event_1884_77
78;1884 г.;1884;61 Больных Умерло об. пола об. пола;#event_1884_78
79;1885 г.;1885;61 Больных Умерло об. пола об. пола;#event_1884_79
80;1876 г.;1876;62 Повивальная школа с родовспомогательным отделением и приютом для детей существует в;#event_1884_80
81;1 января 1885 г.;1885-01-01;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;#event_1884_81
82;4 апреля 1866 г.;1866-04-04;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;#event_1884_82
83;1884 г.;1884;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;#event_1884_83
84;24 мая 1874 г.;1874-05-24;"64 и сапожному в мастерских при самом заведении и наукам — в уездном и приходском училищах; и 2)";#event_1884_84
85;1 января 1885 г.;1885-01-01;"64 и сапожному в мастерских при самом заведении и наукам — в уездном и приходском училищах; и 2)";#event_1884_85
86;30 апреля 1885 г.;1885-04-30;92 Стат. ком. № 16 МИНИСТЕРСТВО ВОЕННОЕ и;#event_1884_86
87;1885 г.;1885;93 И того в этом деле пятьдесят три (53) листа. И.;#event_1884_87
88;1884 г.;1884;93 И того в этом деле пятьдесят три (53) листа. И.;#event_1884_88
