ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
74;1 января 1885 г.;1885-01-01;"59 в доход казны за билетные бланки для ссыльнопоселенцев — 1 200 руб.; 6) представлено в распоряжен";
75;1 января 1885 г.;1885-01-01;"59 в доход казны за билетные бланки для ссыльнопоселенцев — 1 200 руб.; 6) представлено в распоряжен";
76;1884 г.;1884;60 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ А. Врачи Всех врачей гражданского ведома по губерни;
77;1884 г.;1884;60 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ А. Врачи Всех врачей гражданского ведома по губерни;
78;1884 г.;1884;61 Больных Умерло об. пола об. пола;
79;1885 г.;1885;61 Больных Умерло об. пола об. пола;
80;1876 г.;1876;62 Повивальная школа с родовспомогательным отделением и приютом для детей существует в;
81;1 января 1885 г.;1885-01-01;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;
82;4 апреля 1866 г.;1866-04-04;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;
83;1884 г.;1884;Оставалось В приходе В расходе В остатке а) Принадлежащего собственно приказу 155 067 руб. 22½ коп. ;
84;24 мая 1874 г.;1874-05-24;"64 и сапожному в мастерских при самом заведении и наукам — в уездном и приходском училищах; и 2)";
85;1 января 1885 г.;1885-01-01;"64 и сапожному в мастерских при самом заведении и наукам — в уездном и приходском училищах; и 2)";
86;30 апреля 1885 г.;1885-04-30;92 Стат. ком. № 16 МИНИСТЕРСТВО ВОЕННОЕ и;
87;1885 г.;1885;93 И того в этом деле пятьдесят три (53) листа. И.;
88;1884 г.;1884;93 И того в этом деле пятьдесят три (53) листа. И.;
