id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
25;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_25
26;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_26
27;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_27
28;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_28
29;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_29
30;1842 г.;1842;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_30
31;1842 г.;1842;15 Приготовлено залогу к;#event_1884_31
32;1830 г.;1830;15 Приготовлено залогу к;#event_1884_32
33;1840 г.;1840;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;#event_1884_33
34;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;#event_1884_34
35;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;#event_1884_35
36;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;#event_1884_36
37;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;#event_1884_37
38;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;#event_1884_38
39;1841 г.;1841;17 Луку . . . . . . . . . . . . . . . . . . 341 Распахано земли в;#event_1884_39
40;1842 г.;1842;17 Луку . . . . . . . . . . . . . . . . . . 341 Распахано земли в;#event_1884_40
41;1842 г.;1842;17 Луку . . . . . . . . . . . . . . . . . . 341 Распахано земли в;#event_1884_41
42;1840 г.;1840;18 3. ПО МИНУСИНСКОМУ ОКРУГУ: А) ПОСЕЛЕНИЕ САГАЙСКОЕ НАЧАТО УСТРАИВАТЬСЯ С МАРТА 1830 Г. Домов предп;#event_1884_42
43;1841 г.;1841;18 3. ПО МИНУСИНСКОМУ ОКРУГУ: А) ПОСЕЛЕНИЕ САГАЙСКОЕ НАЧАТО УСТРАИВАТЬСЯ С МАРТА 1830 Г. Домов предп;#event_1884_43
44;1841 г.;1841;18 3. ПО МИНУСИНСКОМУ ОКРУГУ: А) ПОСЕЛЕНИЕ САГАЙСКОЕ НАЧАТО УСТРАИВАТЬСЯ С МАРТА 1830 Г. Домов предп;#event_1884_44
45;1841 г.;1841;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;#event_1884_45
46;1841 г.;1841;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;#event_1884_46
47;1840 г.;1840;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;#event_1884_47
48;1842 г.;1842;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;#event_1884_48
49;1842 г.;1842;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;#event_1884_49
50;1841 г.;1841;20 Ягнят . . . . . . . . . . . . . . . . . . . 36 Поселенцы имеют собственного заведения: Лошадей . ;#event_1884_50
51;1840 г.;1840;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;#event_1884_51
52;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;#event_1884_52
53;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;#event_1884_53
54;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;#event_1884_54
55;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;#event_1884_55
56;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;#event_1884_56
57;1841 г.;1841;22 Капусты . . . . . . . . . . . . . . . . 2 261 Свеклы . . . . . . . . . . . . . . . . . 924 Бобов ;#event_1884_57
58;1842 г.;1842;22 Капусты . . . . . . . . . . . . . . . . 2 261 Свеклы . . . . . . . . . . . . . . . . . 924 Бобов ;#event_1884_58
59;1842 г.;1842;22 Капусты . . . . . . . . . . . . . . . . 2 261 Свеклы . . . . . . . . . . . . . . . . . 924 Бобов ;#event_1884_59
60;1841 г.;1841;24 II. ПО ЧАСТИ ПУБЛИЧНЫХ ЗДАНИЙ Л) О ГУБЕРНСКИХ КАЗЕННЫХ СТРОЕНИЯХ ВООБЩЕ, В КАКОМ СОСТОЯНИИ НАХОДЯ;#event_1884_60
61;19 марта 1841 г.;1841-03-19;25 Н) О ПРЕДПОЛОЖЕНИЯХ НА НАСТУПАЮЩИЙ ГОД К СООРУЖЕНИЮ НОВЫХ И К КАПИТАЛЬНЫМ ИСПРАВЛЕНИЯМ СТАРЫХ СТР;#event_1884_61
62;1841 г.;1841;26 I. ПО ЧАСТИ ДЕПАРТАМЕНТА ПОЛИЦИИ ИСПОЛНИТЕЛЬНОЙ 1) По устройству губернских и окружных управлений;#event_1884_62
63;1841 г.;1841;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_63
64;1842 г.;1842;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_64
65;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_65
66;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_66
67;1841 г.;1841;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_67
68;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_68
69;1842 г.;1842;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_69
70;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_70
71;1841 г.;1841;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_71
72;1842 г.;1842;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;#event_1884_72
73;1841 г.;1841;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;#event_1884_73
74;1840 г.;1840;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;#event_1884_74
75;1842 г.;1842;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;#event_1884_75
76;1842 г.;1842;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;#event_1884_76
77;1842 г.;1842;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;#event_1884_77
78;1842 г.;1842;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;#event_1884_78
79;1842 г.;1842;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;#event_1884_79
80;1841 г.;1841;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;#event_1884_80
81;1840 г.;1840;31 6. О УСТРОЙСТВЕ И СОДЕРЖАНИИ ГОРОДОВЫХ БОЛЬНИЦ, НЕ ПОДЛЕЖАЩИХ ВЕДОМСТВУ ПРИКАЗА ОБЩЕСТВЕННОГО ПРИ;#event_1884_81
82;1841 г.;1841;31 6. О УСТРОЙСТВЕ И СОДЕРЖАНИИ ГОРОДОВЫХ БОЛЬНИЦ, НЕ ПОДЛЕЖАЩИХ ВЕДОМСТВУ ПРИКАЗА ОБЩЕСТВЕННОГО ПРИ;#event_1884_82
83;1841 г.;1841;31 6. О УСТРОЙСТВЕ И СОДЕРЖАНИИ ГОРОДОВЫХ БОЛЬНИЦ, НЕ ПОДЛЕЖАЩИХ ВЕДОМСТВУ ПРИКАЗА ОБЩЕСТВЕННОГО ПРИ;#event_1884_83
84;1841 г.;1841;32 3) от председателя;#event_1884_84
85;1840 г.;1840;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;#event_1884_85
86;22 мая 1841 г.;1841-05-22;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;#event_1884_86
87;1841 г.;1841;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;#event_1884_87
88;1841 г.;1841;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;#event_1884_88
89;1841 г.;1841;34 затоплены окрестности города и более трех частей улиц. Некоторые дома и другия строения водою сне;#event_1884_89
90;1841 г.;1841;35 Хотя по 19 ч. октября;#event_1884_90
91;1841 г.;1841;"36 виновников не открыто, но 3 оставлены в подозрении; прочие же пожары были собственно от неосторож";#event_1884_91
92;1841 г.;1841;"36 виновников не открыто, но 3 оставлены в подозрении; прочие же пожары были собственно от неосторож";#event_1884_92
93;1840 г.;1840;"36 виновников не открыто, но 3 оставлены в подозрении; прочие же пожары были собственно от неосторож";#event_1884_93
94;1841 г.;1841;39 по роду дел его, находится значительный беспорядок, который произошел собственно от письмоводител;#event_1884_94
95;1841 г.;1841;40 II. ПО ОХРАНЕНИЮ ВНУТРЕННЕЙ БЕЗОПАСНОСТИ И О ПОЛИЦИИ ДЕЛ СУДНЫХ И УГОЛОВНЫХ 20) О СОСТОЯНИИ МЕСТ ;#event_1884_95
96;1842 г.;1842;40 II. ПО ОХРАНЕНИЮ ВНУТРЕННЕЙ БЕЗОПАСНОСТИ И О ПОЛИЦИИ ДЕЛ СУДНЫХ И УГОЛОВНЫХ 20) О СОСТОЯНИИ МЕСТ ;#event_1884_96
97;1841 г.;1841;40 II. ПО ОХРАНЕНИЮ ВНУТРЕННЕЙ БЕЗОПАСНОСТИ И О ПОЛИЦИИ ДЕЛ СУДНЫХ И УГОЛОВНЫХ 20) О СОСТОЯНИИ МЕСТ ;#event_1884_97
98;1841 г.;1841;41 22. О ПОИМКЕ РАЗНОГО РОДА ПРЕСТУПНИКОВ, БЕГЛЫХ, БЕСПАСПОРТНЫХ И ДЕЗЕРТИРОВ И О ПРЕСЕЧЕНИИ БРОДЯЖН;#event_1884_98
99;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;#event_1884_99
100;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;#event_1884_100
101;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;#event_1884_101
102;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;#event_1884_102
103;1841 г.;1841;"44 окружных, о коих немедленно производились строгия исследования; обнаруженные в притеснении кресть";#event_1884_103
104;1842 г.;1842;45 III. ПО ЧАСТИ ЗЕМСКИХ ПОВИННОСТЕЙ И О ВОИНСКИХ ТРЕБОВАНИЯХ 34. ОБ УСТРОЙСТВЕ И СОДЕРЖАНИИ ДОРОГ У;#event_1884_104
105;1840 г.;1840;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;#event_1884_105
106;1841 г.;1841;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;#event_1884_106
107;1841 г.;1841;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;#event_1884_107
108;1842 г.;1842;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;#event_1884_108
109;1 января 1842 г.;1842-01-01;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;#event_1884_109
110;1842 г.;1842;48 Считается на поселенцах ведомства;#event_1884_110
111;1841 г.;1841;48 Считается на поселенцах ведомства;#event_1884_111
112;12 июля 1841 г.;1841-07-12;48 Считается на поселенцах ведомства;#event_1884_112
113;1841 г.;1841;48 Считается на поселенцах ведомства;#event_1884_113
114;1842 г.;1842;49 За прежние годы . . . . . . . . . . 26 951 – 27 3/73/7 1/141/14 В это число вступило: Оклада . . ;#event_1884_114
115;1841 г.;1841;49 За прежние годы . . . . . . . . . . 26 951 – 27 3/73/7 1/141/14 В это число вступило: Оклада . . ;#event_1884_115
116;1841 г.;1841;51 повреждения, в особенности значительные в занимаемых Линейным баталионом;#event_1884_116
117;1841 г.;1841;51 повреждения, в особенности значительные в занимаемых Линейным баталионом;#event_1884_117
118;1841 г.;1841;52 надзор, и если бывает когда замечено незаконное или излишнее употребление обывательских лошадей з;#event_1884_118
119;1841 г.;1841;52 надзор, и если бывает когда замечено незаконное или излишнее употребление обывательских лошадей з;#event_1884_119
120;1834 г.;1834;53 ПО ЧАСТИ ДЕПАРТАМЕНТА ХОЗЯЙСТВЕННОГО I. НАРОДНОЕ ПРОДОВОЛЬСТВИЕ И ПРОМЫШЛЕННОСТЬ 1. УПРАВЛЕНИЕ Вс;#event_1884_120
121;16 января 1836 г.;1836-01-16;53 ПО ЧАСТИ ДЕПАРТАМЕНТА ХОЗЯЙСТВЕННОГО I. НАРОДНОЕ ПРОДОВОЛЬСТВИЕ И ПРОМЫШЛЕННОСТЬ 1. УПРАВЛЕНИЕ Вс;#event_1884_121
122;1840 г.;1840;53 ПО ЧАСТИ ДЕПАРТАМЕНТА ХОЗЯЙСТВЕННОГО I. НАРОДНОЕ ПРОДОВОЛЬСТВИЕ И ПРОМЫШЛЕННОСТЬ 1. УПРАВЛЕНИЕ Вс;#event_1884_122
123;1840 г.;1840;54 жители достаточно продовольствуются хлебом из некоторых волостей своего округа, расположенных к ю;#event_1884_123
124;1841 г.;1841;54 жители достаточно продовольствуются хлебом из некоторых волостей своего округа, расположенных к ю;#event_1884_124
125;1841 г.;1841;54 жители достаточно продовольствуются хлебом из некоторых волостей своего округа, расположенных к ю;#event_1884_125
126;1841 г.;1841;57 земскими начальствами и другими, особо командируемыми лицами. Впрочем, за сохранностию хлеба вооб;#event_1884_126
127;1841 г.;1841;58 и воды местах, находились в;#event_1884_127
128;1841 г.;1841;58 и воды местах, находились в;#event_1884_128
129;1841 г.;1841;58 и воды местах, находились в;#event_1884_129
130;1841 г.;1841;58 и воды местах, находились в;#event_1884_130
131;1841 г.;1841;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";#event_1884_131
132;1841 г.;1841;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";#event_1884_132
133;10 октября 1841 г.;1841-10-10;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";#event_1884_133
134;1841 г.;1841;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";#event_1884_134
135;10 января 1841 года;1841-01-10;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";#event_1884_135
136;1 января 1841 г.;1841-01-01;60 13. От 17 июля № 515 касательно порядка производства торгов на продажу просроченных в приказах им;#event_1884_136
137;1841 г.;1841;60 13. От 17 июля № 515 касательно порядка производства торгов на продажу просроченных в приказах им;#event_1884_137
138;1841 г.;1841;60 13. От 17 июля № 515 касательно порядка производства торгов на продажу просроченных в приказах им;#event_1884_138
139;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_139
140;1840 г.;1840;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_140
141;16 апреля 1841 г.;1841-04-16;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_141
142;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_142
143;1840 г.;1840;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_143
144;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_144
145;1842 г.;1842;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_145
146;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;#event_1884_146
147;1841 г.;1841;63 ПО ЧАСТИ ГРАЖДАНСКОГО ГЕНЕРАЛ-ШТАБ-ДОКТОРА I. О КОЛИЧЕСТВЕ МЕДИЦИНСКИХ ЧИНОВ а) в;#event_1884_147
148;1840 г.;1840;64 б) недостает по штату: при;#event_1884_148
149;1840 г.;1840;64 б) недостает по штату: при;#event_1884_149
150;1841 г.;1841;64 б) недостает по штату: при;#event_1884_150
151;1841 г.;1841;64 б) недостает по штату: при;#event_1884_151
152;1842 г.;1842;65 1. В;#event_1884_152
153;1831 г.;1831;67 способствовало и изменение жаркой атмосферы в прохладную. Больных было 177 лошадей, из числа коих;#event_1884_153
154;1840 г.;1840;67 способствовало и изменение жаркой атмосферы в прохладную. Больных было 177 лошадей, из числа коих;#event_1884_154
155;1841 г.;1841;67 способствовало и изменение жаркой атмосферы в прохладную. Больных было 177 лошадей, из числа коих;#event_1884_155
156;1841 г.;1841;68 7. О ЧИСЛЕ АПТЕК а) в;#event_1884_156
157;1841 год;1841;70;#event_1884_157
158;1841 год;1841;71;#event_1884_158
159;1841 г.;1841;106 В;#event_1884_159
160;1841 г.;1841;106 В;#event_1884_160
161;1842 г.;1842;106 В;#event_1884_161
162;1841 г.;1841;107 В;#event_1884_162
163;1841 г.;1841;107 В;#event_1884_163
164;1842 г.;1842;107 В;#event_1884_164
165;1841 г.;1841;108 В;#event_1884_165
166;1841 г.;1841;108 В;#event_1884_166
167;1842 г.;1842;108 В;#event_1884_167
168;1841 г.;1841;109 В;#event_1884_168
169;1841 г.;1841;109 В;#event_1884_169
170;1842 г.;1842;109 В;#event_1884_170
171;1841 г.;1841;110 В;#event_1884_171
172;1841 г.;1841;110 В;#event_1884_172
173;1842 г.;1842;110 В;#event_1884_173
174;1841 г.;1841;111 В;#event_1884_174
175;1841 г.;1841;111 В;#event_1884_175
176;1842 г.;1842;111 В;#event_1884_176
177;1841 г.;1841;117;#event_1884_177
178;1 января 1842 г.;1842-01-01;160 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;#event_1884_178
179;1841 г.;1841;160 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;#event_1884_179
180;1 января 1842 г.;1842-01-01;160 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;#event_1884_180
181;1 января 1842 г.;1842-01-01;161 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;#event_1884_181
182;1841 г.;1841;161 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;#event_1884_182
183;1 января 1842 г.;1842-01-01;161 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;#event_1884_183
184;1841 г.;1841;164 Раздел I. Глава IV Раздел IX. Глава II Раздел II. Глава IV По Всемилостивейшему манифесту 16-го ;#event_1884_184
185;1841 г.;1841;165 Раздел I. Глава IV Раздел IX. Глава II Раздел II. Глава IV По Всемилостивейшему манифесту 16-го ;#event_1884_185
186;16 апреля 1841 г.;1841-04-16;168 Раздел I. Глава IV Раздел IX. Глава II Раздел VII. Глава X По Всемилостивейшему манифесту;#event_1884_186
187;16 апреля 1841 г.;1841-04-16;169 Раздел I. Глава IV Раздел IX. Глава II Раздел VII. Глава X По Всемилостивейшему манифесту;#event_1884_187
188;1841 г.;1841;176 Сведения о суммах;#event_1884_188
189;1841 г.;1841;176 Сведения о суммах;#event_1884_189
190;1841 г.;1841;176 Сведения о суммах;#event_1884_190
191;1841 г.;1841;176 Сведения о суммах;#event_1884_191
192;1842 г.;1842;176 Сведения о суммах;#event_1884_192
193;1841 г.;1841;176 Сведения о суммах;#event_1884_193
194;1841 г.;1841;176 Сведения о суммах;#event_1884_194
195;1842 г.;1842;176 Сведения о суммах;#event_1884_195
196;1841 г.;1841;176 Сведения о суммах;#event_1884_196
197;1841 г.;1841;176 Сведения о суммах;#event_1884_197
198;1842 г.;1842;176 Сведения о суммах;#event_1884_198
199;1841 г.;1841;176 Сведения о суммах;#event_1884_199
200;1841 г.;1841;176 Сведения о суммах;#event_1884_200
201;1842 г.;1842;176 Сведения о суммах;#event_1884_201
202;1841 г.;1841;177 Сведения о суммах;#event_1884_202
203;1841 г.;1841;177 Сведения о суммах;#event_1884_203
204;1841 г.;1841;177 Сведения о суммах;#event_1884_204
205;1841 г.;1841;177 Сведения о суммах;#event_1884_205
206;1842 г.;1842;177 Сведения о суммах;#event_1884_206
207;1841 г.;1841;177 Сведения о суммах;#event_1884_207
208;1841 г.;1841;177 Сведения о суммах;#event_1884_208
209;1842 г.;1842;177 Сведения о суммах;#event_1884_209
210;1841 г.;1841;177 Сведения о суммах;#event_1884_210
211;1841 г.;1841;177 Сведения о суммах;#event_1884_211
212;1842 г.;1842;177 Сведения о суммах;#event_1884_212
213;1841 г.;1841;177 Сведения о суммах;#event_1884_213
214;1841 г.;1841;177 Сведения о суммах;#event_1884_214
215;1842 г.;1842;177 Сведения о суммах;#event_1884_215
216;1842 г.;1842;178 Всего капитала, оставшегося к;#event_1884_216
217;1841 г.;1841;178 Всего капитала, оставшегося к;#event_1884_217
218;1841 г.;1841;178 Всего капитала, оставшегося к;#event_1884_218
219;1842 г.;1842;178 Всего капитала, оставшегося к;#event_1884_219
220;1841 г.;1841;178 Всего капитала, оставшегося к;#event_1884_220
221;1841 г.;1841;178 Всего капитала, оставшегося к;#event_1884_221
222;1842 г.;1842;178 Всего капитала, оставшегося к;#event_1884_222
223;1841 г.;1841;178 Всего капитала, оставшегося к;#event_1884_223
