id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
213;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;#event_1866_213
214;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;#event_1866_214
215;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;#event_1866_215
216;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;#event_1866_216
217;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;#event_1866_217
218;1865 г.;1865;207 Звание городов и селений, где находятся фабрики и заводы Какие фабрики и заводы и сколько На как;#event_1866_218
219;1866 г.;1866;208 4. К числу фабрик и заводов можно отнести и добычу золота на частных золотых приисках.;#event_1866_219
220;1866 г.;1866;208 4. К числу фабрик и заводов можно отнести и добычу золота на частных золотых приисках.;#event_1866_220
221;1 января 1867 г.;1867-01-01;213 ОЗНАЧЕНИЕ СОСЛОВИЙ Хлебные запасы Число душ К;#event_1866_221
222;1866 г.;1866;223 Примечания: 1. По состоянию и званию обнаруженные преступники были: чиновников 9, канцелярских с;#event_1866_222
223;1865 г.;1865;226 О РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХО РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХ Название городов и округов Преемлющих свя;#event_1866_223
224;1866 г.;1866;226 О РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХО РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХ Название городов и округов Преемлющих свя;#event_1866_224
225;1866 г.;1866;229 Примечания: 1. Сверх того, в Троицком солеваренном заводе и на частных золотых промыслах: В Трои;#event_1866_225
226;1866 г.;1866;229 Примечания: 1. Сверх того, в Троицком солеваренном заводе и на частных золотых промыслах: В Трои;#event_1866_226
227;1866 г.;1866;233 ТАБЕЛЬТАБЕЛЬ ТЕЛЬНЫХ ПРОИСШЕСТВИЙ ЕНИСЕЙСКОЙ ГУБЕРНИИТЕЛЬНЫХ ПРОИСШЕСТВИЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ Ра;#event_1866_227
228;1 января 1866 г.;1866-01-01;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;#event_1866_228
229;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;#event_1866_229
