ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
232;1867 г.;1867;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;
233;1 января 1866 г.;1866-01-01;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;
234;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;
235;1865 г.;1865;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;
236;1866 г.;1866;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;
237;1867 г.;1867;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;
238;1867 г.;1867;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;
239;1 января 1866 г.;1866-01-01;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;
240;1865 г.;1865;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;
241;1867 г.;1867;238 В то число собрано с жителей по 4 коп. 2913 483/4 Исключено за убылью душ 708 43 Зачтено вступив;
242;1866 г.;1866;240 К 1-му числу января;
243;1866 г.;1866;240 К 1-му числу января;
